source,ra,ha,dec,date1,time1,date2,time2,int,type,weight,beam,switch_type,freqmode,centfreq,template
S1142+5550,11:42:12,,+55:50:00,2021-11-11,02:05:01,2021-11-11,13:35:01,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S2323+2904,23:23:44,,+29:04:49,2021-11-11,13:46:51,2021-11-12,01:16:51,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1426+5058,14:26:54,,+50:58:09,2021-11-12,04:51:34,2021-11-12,16:21:34,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1119+5324,11:19:21,,+53:24:05,2021-11-13,01:40:38,2021-11-13,13:10:38,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1131+6041,11:31:27,,+60:41:51,2021-11-14,01:34:38,2021-11-14,13:04:38,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1443+3622,14:43:19,,+36:22:36,2021-11-15,04:42:38,2021-11-15,16:12:38,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1444+5058,14:44:15,,+50:58:09,2021-11-16,04:40:38,2021-11-16,16:10:38,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1446+3848,14:46:24,,+38:48:32,2021-11-17,04:38:00,2021-11-17,16:08:00,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0203+4340,02:03:45,,+43:40:23,2021-11-17,16:19:30,2021-11-18,03:49:30,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S2336+2904,23:36:22,,+29:04:49,2021-11-18,13:22:44,2021-11-19,00:52:44,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0001+4606,00:01:29,,+46:06:18,2021-11-19,13:43:37,2021-11-20,01:13:37,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0011+3130,00:11:32,,+31:30:45,2021-11-20,13:50:27,2021-11-21,01:20:27,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0039+2904,00:39:31,,+29:04:49,2021-11-21,14:14:27,2021-11-22,01:44:27,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0101+3356,01:01:59,,+33:56:40,2021-11-22,14:32:45,2021-11-23,02:02:45,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0107+3848,01:07:35,,+38:48:32,2021-12-02,13:57:58,2021-12-03,01:27:58,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0117+2904,01:17:25,,+29:04:49,2021-12-03,14:03:58,2021-12-04,01:33:58,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0116+3130,01:16:23,,+31:30:45,2021-12-04,13:59:44,2021-12-05,01:29:44,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0116+4114,01:16:08,,+41:14:27,2021-12-05,13:55:44,2021-12-06,01:25:44,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0121+3848,01:21:42,,+38:48:32,2021-12-06,13:57:32,2021-12-07,01:27:32,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0130+4114,01:30:41,,+41:14:27,2021-12-08,13:57:08,2021-12-09,01:27:08,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0142+2904,01:42:41,,+29:04:49,2021-12-09,14:05:08,2021-12-10,01:35:08,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0300+3848,03:00:31,,+38:48:32,2021-12-10,15:19:09,2021-12-11,02:49:09,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
M1259+2638,12:59:48,,+26:38:54,2021-12-12,01:14:00,2021-12-12,12:44:00,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0303+3622,03:03:53,,+36:22:36,2021-12-12,15:16:00,2021-12-13,02:46:00,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0342+3848,03:42:52,,+38:48:32,2021-12-13,15:50:00,2021-12-14,03:20:00,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1611+5324,16:11:00,,+53:24:05,2021-12-14,04:16:00,2021-12-14,15:46:00,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
